id,name,address,date,status,link
16922,Accounting and Corporate Regulatory Authority,"Anson Road, 079903",8/26/2008,Registered,https://opencorpdata.com/sg/T08GB0001G
6372,Singapore-Johore Taxi Operators' Association,,8/28/2008,Registered,https://opencorpdata.com/sg/S81SS0004F
12503,Taxi Drivers Christian Fellowship (Singapore),,8/28/2008,Registered,https://opencorpdata.com/sg/S95SS0155H
14015,Premier Taxi Operators' Association (PTOA),"Redhill Road, 158828",8/28/2008,Registered,https://opencorpdata.com/sg/T05SS0067B
23594,Storage Networking Industry Association (South Asia),"North Bridge Road, 179098",8/28/2008,Registered,https://opencorpdata.com/sg/T03SS0124H
24204,National Taxi Association,"Marina Boulevard, 018989",8/28/2008,Registered,https://opencorpdata.com/sg/S97SS0068J
2266,YISHUN TRADING TOWING SERVICE,"Ang Mo Kio Industrial Park 1, 569631",9/9/2008,Registered,https://opencorpdata.com/sg/32661900C
4448,ARA ASSET MANAGEMENT (FORTUNE) LIMITED,"Temasek Boulevard, 038986",9/9/2008,Registered,https://opencorpdata.com/sg/200303151G
5273,BRITOIL WORLDWIDE TOWING CO. PTE. LTD.,"Tech Park Crescent, 638106",9/9/2008,Registered,https://opencorpdata.com/sg/197902758K
6060,MAYPOLE COLD STORAGE (PRIVATE) LIMITED,"Jalan Tiga Ratus, 488070",9/9/2008,Registered,https://opencorpdata.com/sg/195800157E
6658,STEEL STORAGE ASIA PTE. LTD.,"Lok Yang Way, 628628",9/9/2008,Registered,https://opencorpdata.com/sg/200302443D
7432,TOA PAYOH RADIO TAXI SERVICE,"Jalan Selaseh, 808448",9/9/2008,Registered,https://opencorpdata.com/sg/24883400B
7926,BOON LAY GARDEN RADIO TAXI SERVICE,"Boon Lay Place, 641221",9/9/2008,Registered,https://opencorpdata.com/sg/23375200E
8512,SOON HENG TAXIMETERS SERVICE,"Sin Ming Drive, 575702",9/9/2008,Registered,https://opencorpdata.com/sg/20030500W
10557,TAN BROTHERS ACCOUNTING  SERVICES,"Sims Avenue, 400846",9/9/2008,Registered,https://opencorpdata.com/sg/09244600X
11899,JURONG MARINE COLD STORAGE (PRIVATE) LIMITED,"Fishery Port Road, 619733",9/9/2008,Registered,https://opencorpdata.com/sg/197100583D
